population,x,y
389,134.6,-57.04
1528,124.45,-56.11
2707,125.57,-56.11
10693,126.7,-56.11
1862,127.83,-56.11
7586,128.95,-56.11
16074,130.08,-56.11
14057,131.21,-56.11
4001,132.34,-56.11
1078,133.46,-56.11
1059,134.59,-56.11
4415,135.78,-64.44
10635,136.91,-64.44
10167,138.04,-64.44
12677,139.16,-64.44
11708,140.29,-64.44
10376,141.42,-64.44
11141,142.55,-64.44
14544,143.68,-64.44
15322,144.8,-64.44
16149,145.93,-64.44
7084,135.77,-63.52
7040,136.9,-63.52
3954,138.03,-63.52
11888,139.16,-63.52
17204,140.29,-63.52
13121,141.41,-63.52
13602,142.54,-63.52
15646,143.67,-63.52
18435,144.8,-63.52
17587,145.92,-63.52
3666,135.77,-62.59
9206,136.89,-62.59
4166,138.02,-62.59
6004,139.15,-62.59
4854,140.28,-62.59
14416,141.41,-62.59
9367,142.53,-62.59
14771,143.66,-62.59
13221,144.79,-62.59
27029,145.92,-62.59
4767,135.76,-61.67
4744,136.89,-61.67
3330,138.02,-61.67
88,139.14,-61.67
1340,140.27,-61.67
9703,141.4,-61.67
11257,142.53,-61.67
15318,143.65,-61.67
13299,144.78,-61.67
16003,145.91,-61.67
10603,135.75,-60.74
12858,136.88,-60.74
9500,138.01,-60.74
3699,139.14,-60.74
10453,140.26,-60.74
5389,141.39,-60.74
7424,142.52,-60.74
13249,143.65,-60.74
19703,144.77,-60.74
24259,145.9,-60.74
